zip_code,lon,lat,city,province
7021BZ,6.351932602115544,52.000763695420666,Zelhem,Guelders
6121RX,5.814090221174528,51.051015741568875,Born,Limburg
1114AE,4.927957132207243,52.32863100053494,Amsterdam-Duivendrecht,North Holland
1216SK,5.142836161281542,52.21344232866484,Hilversum,North Holland
1746CM,4.778587787293322,52.73327063087705,Dirkshorn,North Holland
5503LV,5.417934486484098,51.41178653973366,Veldhoven,North Brabant
7261AH,6.457082931138974,52.079888894939586,Ruurlo,Guelders
1689AG,5.057990060899806,52.67044181330456,Zwaag,North Holland
7001DS,6.291798256810227,51.96709691278156,Doetinchem,Guelders
6118AP,5.850966666932085,51.03464240304197,Nieuwstadt,Limburg
3846BT,5.64000340398369,52.360931935865686,Harderwijk,Guelders
5232JL,5.325970310440814,51.70381191382642,'s-Hertogenbosch,North Brabant
6021DA,5.579983455797437,51.266548852118746,Budel,North Brabant
5012GJ,5.099358461624886,51.58394495469467,Tilburg,North Brabant
6678PJ,5.812704172925865,51.887614077812316,Oosterhout,Guelders
5281LM,5.3110156510705195,51.57278922491299,Boxtel,North Brabant
3433PV,5.09998732540907,52.01982244897998,Nieuwegein,Utrecht
2222AM,4.432499807844559,52.203279877038604,Katwijk,South Holland
2678MA,4.2235614586707975,51.970506010434484,De Lier,South Holland
2671ZP,4.211828156741498,52.0042514823119,Naaldwijk,South Holland
3401RB,5.054974966895854,52.017508826840555,IJsselstein,Utrecht
3902HS,5.577445485488743,52.035287108208834,Veenendaal,Utrecht
2809JP,4.686858816607314,52.00651774423511,Gouda,South Holland
9207GL,6.0789494591735025,53.12627509949641,Drachten,Friesland
1131HW,5.074392120287441,52.50136675379944,Volendam,North Holland
2718SX,4.501871912130853,52.0368727753889,Zoetermeer,South Holland
8938AG,5.845740696165858,53.20168162134136,Leeuwarden,Friesland
6091NG,5.823505327099415,51.24568512954852,Leveroy,Limburg
6662PE,5.864822996560435,51.9061729908497,Elst,Guelders
7071ED,6.3613615335869955,51.899368343593224,Ulft,Guelders
8601WD,5.635213488534838,53.0318369069481,Sneek,Friesland
8102HR,6.290497093508073,52.38008023880857,Raalte,Overijssel
5321JH,5.2499042042806625,51.74900807613687,Hedel,Guelders
6826TP,5.9580468444322525,51.97491988356769,Arnhem,Guelders
7603NT,6.709414417626012,52.37201559826858,Almelo,Overijssel
5628CJ,5.458110228706558,51.48192538495412,Eindhoven,North Brabant
1327GE,5.256638623271866,52.35810781916646,Almere,Flevoland
4814NN,4.751280905600797,51.58324592502595,Breda,North Brabant
9351VH,6.376086586500118,53.17944275412666,Leek,Groningen
3846AV,5.638185778341698,52.358576281639984,Harderwijk,Guelders
4462GT,3.877495382381312,51.48527060282363,Goes,Zeeland
2408ZC,4.664887307085649,52.11370801891157,Alphen aan den Rijn,South Holland
1014MS,,,,
1991JJ,4.650234907107719,52.4327763721274,Velserbroek,North Holland
7325AM,6.016957321358019,52.22119806624017,Apeldoorn,Guelders
4131NH,5.102136814710919,51.985558948681046,Vianen,Utrecht
4209AX,4.923967292023353,51.84409189051933,Schelluinen,South Holland
6534AM,5.822445776317977,51.81866193943243,Nijmegen,Guelders
8448CE,5.932994292038889,52.97043364250013,Heerenveen,Friesland
5061JX,5.18511451971016,51.586816853896956,Oisterwijk,North Brabant
4905BJ,4.850149101666664,51.648601194836765,Oosterhout,North Brabant
3404LK,5.042482193151816,52.00630411442535,IJsselstein,Utrecht
3712DE,5.259123588272005,52.108433028487106,Huis ter Heide,Utrecht
3335LH,4.612205337300377,51.82469704132571,Zwijndrecht,South Holland
9791DA,6.705432671579205,53.27851670194994,Ten Boer,Groningen
7825XE,6.918092122506263,52.762792408551,Emmen,Drenthe
3721TK,5.176503390515736,52.118139176590404,Bilthoven,Utrecht
7556BX,6.779033305641832,52.27980851780369,Hengelo,Overijssel
9672BJ,7.050811873376253,53.14627015199459,Winschoten,Groningen
7102JM,6.699849946932998,51.96429725477888,Winterswijk,Guelders
8239DD,5.488816774222493,52.480990977584675,Lelystad,Flevoland
1627LD,5.094137390396258,52.64292137034679,Hoorn,North Holland
9403AP,6.578686705594208,53.004992893242616,Assen,Drenthe
